LegalDescription,TownshipRange,Township,Range,Section,County,Created,Modified,Modified By,TownshipRange,DocumentName,ID
"<font color=""%23000000"">SECTION 17, TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 17</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","03099105.pdf","300"
"<font color=""%23000000"">SECTION 17, TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 17</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","03099107.pdf","301"
"<font color=""%23000000"">SECTION 17, TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 17</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","03099108.pdf","302"
"<font color=""%23000000"">SECTIONS 8 AND 17, 	 CAUSE CD NO. 201 50091B TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 8 AND 17</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309912B.pdf","303"
"<font color=""%23000000"">SECTIONS 8 AND 17, 	 CAUSE CD NO. 201 5 00920 TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 8 AND 17</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309912C.pdf","304"
"<font color=""%23000000"">SECTION 17, TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 17</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309912D.pdf","305"
"<font color=""%23000000"">SECTION 17, TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 17</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5180343.pdf","306"
"<font color=""%23000000"">SECTIONS 8 AND 17, 	 CAUSE CD NO. 201 	 919 TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 8 AND 17</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5180587.pdf","307"
"<font color=""%23000000"">SECTIONS 5 AND 8, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 5 AND 8</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309A6A6.pdf","308"
"<font color=""%23000000"">SECTIONS 5 AND 8, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 5 AND 8</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309A6A7.pdf","309"
"<font color=""%23000000"">SECTION 5, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 5</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309A6AF.pdf","310"
"<font color=""%23000000"">SECTION 8, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 8</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309A6B0.pdf","311"
"<font color=""%23000000"">SECTION 8, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 8</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309A6B1.pdf","312"
"<font color=""%23000000"">SECTION 26, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 26</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5187632.pdf","313"
"<font color=""%23000000"">SECTION 26, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 26</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5187633.pdf","314"
"<font color=""%23000000"">SECTION 26, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 26</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5187635.pdf","315"
"<font color=""%23000000"">SECTION 26, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 26</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5187638.pdf","316"
"<font color=""%23000000"">SECTION 26, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 26</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5187640.pdf","317"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309D4F1.pdf","318"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309D4F2.pdf","319"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309D5C7.pdf","320"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309D5C8.pdf","321"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309D5C9.pdf","322"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309D5CA.pdf","323"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","0309D5CB.pdf","324"
"<font color=""%23000000"">SECTION 27, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 27</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030A0567.pdf","325"
"<font color=""%23000000"">SECTIONS 3 AND 10, 	 CAUSE CD NO. 201 E A 7332 TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 3 AND 10</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5200356.pdf","326"
"<font color=""%23000000"">SECTIONS 3 AND 10, 	 CAUSE CD NO. 201 E A 7332 TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 3 AND 10</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5200514.pdf","327"
"<font color=""%23000000"">SECTIONS 3 AND 10, 	 CAUSE CD NO. 201 E A 7332 TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 3 AND 10</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5200515.pdf","328"
"<font color=""%23000000"">SECTION 3, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 3</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030A1E92.pdf","329"
"<font color=""%23000000"">SECTION 5, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 5</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5217418.pdf","330"
"<font color=""%23000000"">SECTIONS 5 AND 8, 	 CAUSE CD NO. 2015 03 Ii 63 TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 5 AND 8</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5217419.pdf","331"
"<font color=""%23000000"">SECTIONS 5 AND 8, 	 CAUSE CD NO. 201503664 TOWNSHIP 16 NORTH, RANGE 9 WEST, ALL IN KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 5 AND 8</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5217420.pdf","332"
"<font color=""%23000000"">SECTION 36, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 36</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","occ5223248.pdf","333"
"<font color=""%23000000"">SECTION 34, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 34</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030ABB50.pdf","334"
"<font color=""%23000000"">SECTIONS 27 AND 34, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 27 AND 34</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030ABB51.pdf","335"
"<font color=""%23000000"">SECTIONS 27 AND 34, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTIONS 27 AND 34</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030ABB52.pdf","336"
"<font color=""%23000000"">SECTION 27, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 27</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030ABB53.pdf","337"
"<font color=""%23000000"">SECTION 34, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 34</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030ABB55.pdf","338"
"<font color=""%23000000"">SECTION 26, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 26</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030ABB61.pdf","339"
"<font color=""%23000000"">SECTION 26, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 26</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030ABB62.pdf","340"
"<font color=""%23000000"">SECTION 34, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 34</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030AF35C.pdf","341"
"<font color=""%23000000"">SECTION 34, TOWNSHIP 16 NORTH, RANGE 9 WEST, KINGFISHER</font>","T16N-R9W","T16N","R9W","<font color=""%23000000"">SECTION 34</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T16N-R9W","030AF35D.pdf","342"
"<font color=""%23000000"">SECTION 2, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 2</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03091DBB.pdf","343"
"<font color=""%23000000"">SECTIONS 2 AND 11, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 2 AND 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03091DBC.pdf","344"
"<font color=""%23000000"">SECTIONS 2 AND 11, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 2 AND 11</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03091DBD.pdf","345"
"<font color=""%23000000"">SECTION 2, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 2</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03092461.pdf","346"
"<font color=""%23000000"">SECTION 9, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 9</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5167195.pdf","347"
"<font color=""%23000000"">SECTIONS 10 AND 15, 	 	 CAUSE CD NO. 2014 i 198 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN 	 KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 10 AND 15</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5167444.pdf","348"
"<font color=""%23000000"">SECTIONS 10 AND 15, 	 	 CAUSE CD NO. 2014 i 198 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN 	 KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 10 AND 15</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5167450.pdf","349"
"<font color=""%23000000"">SECTIONS 10 AND 15, 	 CAUSE CD NO. 201409350 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 10 AND 15</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03093A9B.pdf","350"
"<font color=""%23000000"">SECTIONS 10 AND 15, 	 	 CAUSE CD NO. 20140 9 3 5 1. TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN 	 KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 10 AND 15</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03093A9C.pdf","351"
"<font color=""%23000000"">SECTIONS 10 AND 15, 	 	 CAUSE CD NO. 20140 9 3 5 1. TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN 	 KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 10 AND 15</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03093B6C.pdf","352"
"<font color=""%23000000"">SECTIONS 10 AND 15, 	 	 CAUSE CD NO. 20140 9 3 5 1. TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN 	 KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 10 AND 15</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03093B6D.pdf","353"
"<font color=""%23000000"">SECTIONS 26 AND 35, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 26 AND 35</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03093E78.pdf","354"
"<font color=""%23000000"">SECTIONS 26 AND 35, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 26 AND 35</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03093E7A.pdf","355"
"<font color=""%23000000"">SECTIONS 26 AND 35, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 26 AND 35</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03093E7D.pdf","356"
"<font color=""%23000000"">SECTIONS 26 AND 35, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 26 AND 35</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03093E7E.pdf","357"
"<font color=""%23000000"">SECTION 24, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 24</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03094273.pdf","358"
"<font color=""%23000000"">SECTION 25, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 25</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03094274.pdf","359"
"<font color=""%23000000"">SECTION 25, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 25</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03094275.pdf","360"
"<font color=""%23000000"">SECTION 25, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 25</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","03094276.pdf","361"
"<font color=""%23000000"">SECTION 15, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 15</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5175060.pdf","362"
"<font color=""%23000000"">SECTION 7. TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 7. TOWNSHIP 	 ) 	 CAUSE CD NO. 201 0 ii) 917 </font><br><br><font color=""%23000000"">15 NORTH</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","0309912A.pdf","363"
"<font color=""%23000000"">SECTION 20, 	 	 CAUSE CD NO. 201 501,564 TOWNSHIP 15 NORTH, RANGE 8 WEST, 	 KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTION 20</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5187960.pdf","364"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","0309E95E.pdf","365"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","0309E963.pdf","366"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 15 NORTH, RANGE 8 WEST, KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","0309E964.pdf","367"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199578.pdf","368"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199579.pdf","369"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199661.pdf","370"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199664.pdf","371"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199666.pdf","372"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199667.pdf","373"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199671.pdf","374"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199677.pdf","375"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199683.pdf","376"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199690.pdf","377"
"<font color=""%23000000"">SECTIONS 28 AND 33, 	 CAUSE CD NO. 201 562270 TOWNSHIP 15 NORTH, RANGE 8 WEST, ALL IN KINGFISHER</font>","T15N-R8W","T15N","R8W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:47 PM","05/17/2016 02:47 PM","Lance Mason","T15N-R8W","occ5199692.pdf","378"
